Classification Code,Start Range,End Range,Start Range Number,End Range Number,Group1,Group2,Group3,Group4,Group5
BL,BL1145,BL1146,1145.0,1146.0,Religions.  Mythology.  Rationalism,History and principles of religions,Asian. Oriental,Hinduism,Hindu literature
BL,BL1146.001,BL1153.699,1146.001,1153.699,Religions.  Mythology.  Rationalism,History and principles of religions,Asian. Oriental,,
BL,BL1153.7,BL1168,1153.7,1168.0,Religions.  Mythology.  Rationalism,History and principles of religions,Asian. Oriental,Hinduism,By region or country
BL,BL1168.001,BL1212.319,1168.001,1212.319,Religions.  Mythology.  Rationalism,History and principles of religions,Asian. Oriental,,
BL,BL1212.32,BL1215,1212.32,1215.0,Religions.  Mythology.  Rationalism,History and principles of religions,Asian. Oriental,Hinduism,Doctrines. Theology
BL,BL1215.001,BL1215.999,1215.001,1215.999,Religions.  Mythology.  Rationalism,History and principles of religions,Asian. Oriental,,
BL,BL1216,BL1225,1216.0,1225.0,Religions.  Mythology.  Rationalism,History and principles of religions,Asian. Oriental,Hinduism,Hindu pantheon. Deities
BL,BL1225.001,BL1225.199,1225.001,1225.199,Religions.  Mythology.  Rationalism,History and principles of religions,Asian. Oriental,,
BL,BL1225.2,BL1243.58,1225.2,1243.58,Religions.  Mythology.  Rationalism,History and principles of religions,Asian. Oriental,Hinduism,Religious life
BL,BL1243.581,BL1243.719,1243.581,1243.719,Religions.  Mythology.  Rationalism,History and principles of religions,Asian. Oriental,,
